url_path,views_total,views_unique
/nf-neuro/MultiQC_neuroimaging,10,2
/nf-neuro/MultiQC_neuroimaging/releases,5,1
/nf-neuro/MultiQC_neuroimaging/pull/21,3,1
/nf-neuro/MultiQC_neuroimaging/pulls,3,1
/nf-neuro/MultiQC_neuroimaging/issues,2,2
/nf-neuro/MultiQC_neuroimaging/releases/new,2,1
/nf-neuro/MultiQC_neuroimaging/compare/main...gagnonanthony:fix/colors,1,1
/nf-neuro/MultiQC_neuroimaging/releases/edit/v0.1.3,1,1
/nf-neuro/MultiQC_neuroimaging/releases/tag/v0.1.4,1,1
/nf-neuro/MultiQC_neuroimaging/tags,1,1
