url_path,views_total,views_unique
/nf-neuro/MultiQC_neuroimaging,33,5
/nf-neuro/MultiQC_neuroimaging/pull/18,6,2
/nf-neuro/MultiQC_neuroimaging/tree/main/neuroimaging,6,2
/nf-neuro/MultiQC_neuroimaging/pulls,5,2
/nf-neuro/MultiQC_neuroimaging/tree/main/neuroimaging/modules,5,2
/nf-neuro/MultiQC_neuroimaging/releases,5,1
/nf-neuro/MultiQC_neuroimaging/pull/17,4,1
/nf-neuro/MultiQC_neuroimaging/tags,4,1
/nf-neuro/MultiQC_neuroimaging/blob/main/neuroimaging/modules/bundles/bundles.py,2,2
/nf-neuro/MultiQC_neuroimaging/issues,2,2
