time_iso8601,stars_cumulative
2025-01-03 00:00:00+00:00,1
2025-05-20 00:00:00+00:00,2
2025-10-16 00:00:00+00:00,3
2025-10-19 00:00:00+00:00,4
2025-12-22 00:00:00+00:00,5
2026-01-30 00:00:00+00:00,6
2026-02-09 00:00:00+00:00,7
