time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-22 00:00:00+00:00,18,1,8,2
2026-06-23 00:00:00+00:00,40,2,7,1
2026-06-24 00:00:00+00:00,0,0,3,1
2026-06-25 00:00:00+00:00,10,2,2,2
2026-06-26 00:00:00+00:00,0,0,0,0
2026-06-27 00:00:00+00:00,0,0,2,2
2026-06-28 00:00:00+00:00,0,0,3,3
2026-06-29 00:00:00+00:00,22,1,13,2
2026-06-30 00:00:00+00:00,0,0,2,2
2026-07-01 00:00:00+00:00,8,2,10,2
2026-07-02 00:00:00+00:00,74,4,51,3
2026-07-03 00:00:00+00:00,9,1,9,3
2026-07-04 00:00:00+00:00,2,2,1,1
2026-07-05 00:00:00+00:00,0,0,0,0
2026-07-06 00:00:00+00:00,32,11,10,4
2026-07-07 00:00:00+00:00,1,1,7,2
2026-07-08 00:00:00+00:00,1,1,2,2
2026-07-09 00:00:00+00:00,3,2,4,1
2026-07-10 00:00:00+00:00,1,1,4,4
2026-07-11 00:00:00+00:00,4,4,8,2
2026-07-12 00:00:00+00:00,1,1,11,1
2026-07-13 00:00:00+00:00,14,1,15,4
2026-07-14 00:00:00+00:00,0,0,37,2
2026-07-15 00:00:00+00:00,0,0,0,0
2026-07-16 00:00:00+00:00,0,0,6,2
2026-07-17 00:00:00+00:00,0,0,11,3
2026-07-18 00:00:00+00:00,0,0,0,0
2026-07-19 00:00:00+00:00,0,0,0,0
2026-07-20 00:00:00+00:00,50,8,58,3
2026-07-21 00:00:00+00:00,25,3,81,4
2026-07-22 00:00:00+00:00,51,17,19,2
2026-07-23 00:00:00+00:00,2,2,2,2
2026-07-24 00:00:00+00:00,2,2,23,4
2026-07-25 00:00:00+00:00,1,1,4,2
2026-07-26 00:00:00+00:00,2,2,0,0
2026-07-27 00:00:00+00:00,29,5,69,4
2026-07-28 00:00:00+00:00,65,7,50,5
2026-07-29 00:00:00+00:00,1,1,18,4
2026-07-30 00:00:00+00:00,0,0,6,4
2026-07-31 00:00:00+00:00,3,2,7,4
2026-08-01 00:00:00+00:00,1,1,0,0
2026-08-02 00:00:00+00:00,0,0,0,0
2026-08-03 00:00:00+00:00,1,1,4,4
2026-08-04 00:00:00+00:00,1,1,3,3
2026-08-05 00:00:00+00:00,0,0,0,0
2026-08-06 00:00:00+00:00,0,0,3,2
2026-08-07 00:00:00+00:00,0,0,11,3
2026-08-08 00:00:00+00:00,2,1,0,0
2026-08-09 00:00:00+00:00,0,0,0,0
2026-08-10 00:00:00+00:00,0,0,1,1
2026-08-11 00:00:00+00:00,59,57,8,2
2026-08-12 00:00:00+00:00,0,0,8,4
2026-08-13 00:00:00+00:00,79,51,1,1
2026-08-14 00:00:00+00:00,4,4,1,1
2026-08-15 00:00:00+00:00,10,1,5,2
2026-08-16 00:00:00+00:00,15,6,4,1
2026-08-17 00:00:00+00:00,10,1,5,1
2026-08-18 00:00:00+00:00,55,1,86,3
2026-08-19 00:00:00+00:00,76,1,113,3
2026-08-20 00:00:00+00:00,7,4,22,2
2026-08-21 00:00:00+00:00,1,1,3,1
2026-08-22 00:00:00+00:00,10,4,0,0
2026-08-23 00:00:00+00:00,15,5,1,1
2026-08-24 00:00:00+00:00,2,1,1,1
2026-08-25 00:00:00+00:00,5,3,4,2
2026-08-26 00:00:00+00:00,12,5,0,0
2026-08-27 00:00:00+00:00,16,5,4,1
2026-08-28 00:00:00+00:00,3,3,0,0
2026-08-29 00:00:00+00:00,4,2,0,0
