time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-14 00:00:00+00:00,0,0,37,2
2026-07-15 00:00:00+00:00,0,0,0,0
2026-07-16 00:00:00+00:00,0,0,6,2
2026-07-17 00:00:00+00:00,0,0,11,3
2026-07-18 00:00:00+00:00,0,0,0,0
2026-07-19 00:00:00+00:00,0,0,0,0
2026-07-20 00:00:00+00:00,50,8,58,3
2026-07-21 00:00:00+00:00,25,3,81,4
2026-07-22 00:00:00+00:00,51,17,19,2
2026-07-23 00:00:00+00:00,2,2,2,2
2026-07-24 00:00:00+00:00,2,2,23,4
2026-07-25 00:00:00+00:00,1,1,4,2
2026-07-26 00:00:00+00:00,2,2,0,0
2026-07-27 00:00:00+00:00,29,5,69,4
