url_path,views_total,views_unique
/scilus/sf-pediatric,33,15
/scilus/sf-pediatric/tree/main/modules,9,4
/scilus/sf-pediatric/issues,9,2
/scilus/sf-pediatric/tree/main,8,3
/scilus/sf-pediatric/tree/main/modules/local,6,3
/scilus/sf-pediatric/blob/main/modules/local/registration/templatetodwi/main.nf,3,2
/scilus/sf-pediatric/tree/main/modules/local/registration/templatetodwi,3,2
/scilus/sf-pediatric/tree/main/modules/nf-neuro,3,2
/scilus/sf-pediatric/commits,3,1
/scilus/sf-pediatric/tree/main/assets,3,1
