time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-04 00:00:00+00:00,1,1,19,2
2026-05-05 00:00:00+00:00,1,1,3,2
2026-05-06 00:00:00+00:00,0,0,2,2
2026-05-07 00:00:00+00:00,0,0,2,1
2026-05-08 00:00:00+00:00,18,2,13,1
2026-05-09 00:00:00+00:00,9,1,8,2
2026-05-10 00:00:00+00:00,1,1,1,1
2026-05-11 00:00:00+00:00,9,1,5,3
2026-05-12 00:00:00+00:00,24,7,6,2
2026-05-13 00:00:00+00:00,4,4,8,2
2026-05-14 00:00:00+00:00,2,2,8,1
2026-05-15 00:00:00+00:00,1,1,1,1
2026-05-16 00:00:00+00:00,0,0,13,2
2026-05-17 00:00:00+00:00,0,0,0,0
