time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-10 00:00:00+00:00,215,69,15,3
2026-07-11 00:00:00+00:00,151,54,36,3
2026-07-12 00:00:00+00:00,14,10,2,2
2026-07-13 00:00:00+00:00,133,44,13,4
2026-07-14 00:00:00+00:00,36,15,17,7
2026-07-15 00:00:00+00:00,2,2,1,1
2026-07-16 00:00:00+00:00,4,4,4,4
2026-07-17 00:00:00+00:00,5,5,10,3
2026-07-18 00:00:00+00:00,3,3,0,0
2026-07-19 00:00:00+00:00,2,2,0,0
2026-07-20 00:00:00+00:00,10,10,0,0
2026-07-21 00:00:00+00:00,14,12,0,0
2026-07-22 00:00:00+00:00,6,6,11,4
2026-07-23 00:00:00+00:00,44,15,19,7
