time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-22 00:00:00+00:00,26,15,0,0
2026-03-23 00:00:00+00:00,3,2,6,2
2026-03-24 00:00:00+00:00,8,5,12,1
2026-03-25 00:00:00+00:00,4,4,26,2
2026-03-26 00:00:00+00:00,5,3,38,2
2026-03-27 00:00:00+00:00,6,3,11,4
2026-03-28 00:00:00+00:00,5,4,1,1
2026-03-29 00:00:00+00:00,8,7,10,1
2026-03-30 00:00:00+00:00,182,60,98,2
2026-03-31 00:00:00+00:00,532,188,49,4
2026-04-01 00:00:00+00:00,177,50,16,1
2026-04-02 00:00:00+00:00,421,143,45,7
2026-04-03 00:00:00+00:00,650,220,19,3
2026-04-04 00:00:00+00:00,4,2,9,3
