time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,12,6,13,4
2026-06-02 00:00:00+00:00,17,9,6,3
2026-06-03 00:00:00+00:00,148,53,47,4
2026-06-04 00:00:00+00:00,319,104,74,8
2026-06-05 00:00:00+00:00,7,7,10,4
2026-06-06 00:00:00+00:00,18,9,12,2
2026-06-07 00:00:00+00:00,7,7,0,0
2026-06-08 00:00:00+00:00,4,4,26,5
2026-06-09 00:00:00+00:00,146,53,21,4
2026-06-10 00:00:00+00:00,7,7,6,2
2026-06-11 00:00:00+00:00,53,17,27,6
2026-06-12 00:00:00+00:00,8,8,5,4
2026-06-13 00:00:00+00:00,6,6,2,2
2026-06-14 00:00:00+00:00,220,53,0,0
