time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-24 00:00:00+00:00,0,0,0,0
2026-05-25 00:00:00+00:00,27,6,24,4
2026-05-26 00:00:00+00:00,3,3,5,4
2026-05-27 00:00:00+00:00,3,3,1,1
2026-05-28 00:00:00+00:00,2,2,7,2
2026-05-29 00:00:00+00:00,1,1,7,3
2026-05-30 00:00:00+00:00,3,3,5,1
2026-05-31 00:00:00+00:00,0,0,0,0
2026-06-01 00:00:00+00:00,1,1,3,1
2026-06-02 00:00:00+00:00,1,1,3,1
2026-06-03 00:00:00+00:00,1,1,4,2
2026-06-04 00:00:00+00:00,0,0,7,2
2026-06-05 00:00:00+00:00,2,2,8,2
2026-06-06 00:00:00+00:00,0,0,0,0
