url_path,views_total,views_unique
/scilus/sf-mouse,23,7
/scilus/sf-mouse/blob/main/modules/local/preproc/singleeddy/main.nf,2,2
/scilus/sf-mouse/blob/main/main.nf,2,1
/scilus/sf-mouse/pulls,2,1
/scilus/sf-mouse/activity,1,1
/scilus/sf-mouse/blob/main/assets/sf-mouse-light-logo.png,1,1
/scilus/sf-mouse/blob/main/modules/nf-neuro/stats/metricsinroi/main.nf,1,1
/scilus/sf-mouse/blob/main/nextflow.config,1,1
/scilus/sf-mouse/commit/c89fd9774ce7724d295d476976d5c78caa4fe9b6,1,1
/scilus/sf-mouse/issues,1,1
