time_iso8601,forks_cumulative
2024-09-16 00:00:00+00:00,2
2024-09-20 00:00:00+00:00,3
2024-09-27 00:00:00+00:00,4
2024-09-30 00:00:00+00:00,5
2024-10-29 00:00:00+00:00,6
2024-12-09 00:00:00+00:00,7
2025-01-30 00:00:00+00:00,8
2025-02-27 00:00:00+00:00,14
2025-03-26 00:00:00+00:00,15
2025-05-28 00:00:00+00:00,16
2025-09-16 00:00:00+00:00,17
2025-11-11 00:00:00+00:00,18
2026-02-25 00:00:00+00:00,19
