time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-25 00:00:00+00:00,1,1,0,0
2026-06-26 00:00:00+00:00,252,75,8,1
2026-06-27 00:00:00+00:00,15,8,0,0
2026-06-28 00:00:00+00:00,1,1,0,0
2026-06-29 00:00:00+00:00,5,3,1,1
2026-06-30 00:00:00+00:00,373,86,12,2
2026-07-01 00:00:00+00:00,72,21,0,0
2026-07-02 00:00:00+00:00,30,13,6,2
2026-07-03 00:00:00+00:00,6,5,3,2
2026-07-04 00:00:00+00:00,6,2,0,0
2026-07-05 00:00:00+00:00,38,11,0,0
2026-07-06 00:00:00+00:00,102,24,12,2
2026-07-07 00:00:00+00:00,297,59,76,4
2026-07-08 00:00:00+00:00,47,16,46,7
