url_path,views_total,views_unique
/nf-neuro/nf-bids,4,1
/nf-neuro/nf-bids/blob/main/docs/examples.md,2,1
/nf-neuro/nf-bids/issues,2,1
/nf-neuro/nf-bids/tree/main/src,2,1
/nf-neuro/nf-bids/blob/main/.github/research/phase1-operator-comparison.md,1,1
/nf-neuro/nf-bids/blob/main/.github/research/phase2-1-operator-signatures.md,1,1
/nf-neuro/nf-bids/blob/main/.github/research/phase5-combineby-api-design.md,1,1
/nf-neuro/nf-bids/blob/main/src/main/groovy/nfneuro/plugin/BidsExtension.groovy,1,1
/nf-neuro/nf-bids/blob/main/src/main/groovy/nfneuro/plugin/BidsFactory.groovy,1,1
/nf-neuro/nf-bids/blob/main/validation/comparison_custom_datasets.nf.test,1,1
