time_iso8601,stars_cumulative
2025-12-02 00:00:00+00:00,2
2025-12-04 00:00:00+00:00,3
2025-12-08 00:00:00+00:00,4
2025-12-19 00:00:00+00:00,5
2026-01-16 00:00:00+00:00,6
