time_iso8601,forks_cumulative
2024-08-30 00:00:00+00:00,1
2025-02-05 00:00:00+00:00,2
2025-10-07 00:00:00+00:00,3
2025-10-30 00:00:00+00:00,4
2025-11-26 00:00:00+00:00,5
2026-01-12 00:00:00+00:00,6
2026-01-15 00:00:00+00:00,7
