url_path,views_total,views_unique
/scilus/sf-tractomics,19,12
/scilus/sf-tractomics/pull/111,4,1
/scilus/sf-tractomics/pull/111/changes,3,2
/scilus/sf-tractomics/pulls,3,2
/scilus/sf-tractomics/blob/main/conf/full_pipeline.config,2,2
/scilus/sf-tractomics/tree/main/subworkflows/nf-neuro,2,2
/scilus/sf-tractomics/tree/main/workflows,2,2
/scilus/sf-tractomics/actions/runs/25802145287,2,1
/scilus/sf-tractomics/actions/runs/25802145287/job/75796614847,1,1
/scilus/sf-tractomics/actions/workflows/nf-test.yml,1,1
