time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-27 00:00:00+00:00,1,1,8,2
2026-07-28 00:00:00+00:00,15,7,3,1
2026-07-29 00:00:00+00:00,11,4,13,1
2026-07-30 00:00:00+00:00,1,1,2,2
2026-07-31 00:00:00+00:00,0,0,0,0
2026-08-01 00:00:00+00:00,1,1,0,0
2026-08-02 00:00:00+00:00,0,0,0,0
2026-08-03 00:00:00+00:00,0,0,3,3
2026-08-04 00:00:00+00:00,5,2,1,1
2026-08-05 00:00:00+00:00,0,0,0,0
2026-08-06 00:00:00+00:00,1,1,0,0
2026-08-07 00:00:00+00:00,2,1,4,1
2026-08-08 00:00:00+00:00,0,0,0,0
2026-08-09 00:00:00+00:00,7,4,5,2
