time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-24 00:00:00+00:00,6,6,5,4
2026-04-25 00:00:00+00:00,5,5,0,0
2026-04-26 00:00:00+00:00,4,1,0,0
2026-04-27 00:00:00+00:00,6,1,2,2
2026-04-28 00:00:00+00:00,10,3,32,2
2026-04-29 00:00:00+00:00,112,25,50,9
2026-04-30 00:00:00+00:00,25,6,11,3
2026-05-01 00:00:00+00:00,46,7,94,7
2026-05-02 00:00:00+00:00,4,1,0,0
2026-05-03 00:00:00+00:00,3,2,0,0
2026-05-04 00:00:00+00:00,111,18,79,4
2026-05-05 00:00:00+00:00,73,16,31,5
2026-05-06 00:00:00+00:00,127,29,82,7
2026-05-07 00:00:00+00:00,19,12,20,4
