time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-03 00:00:00+00:00,3,2,0,0
2026-05-04 00:00:00+00:00,111,18,79,4
2026-05-05 00:00:00+00:00,73,16,31,5
2026-05-06 00:00:00+00:00,127,29,82,7
2026-05-07 00:00:00+00:00,19,12,20,4
2026-05-08 00:00:00+00:00,3,3,5,2
2026-05-09 00:00:00+00:00,1,1,22,3
2026-05-10 00:00:00+00:00,2,2,0,0
2026-05-11 00:00:00+00:00,8,4,9,3
2026-05-12 00:00:00+00:00,2,2,3,2
2026-05-13 00:00:00+00:00,114,27,23,5
2026-05-14 00:00:00+00:00,4,4,3,2
2026-05-15 00:00:00+00:00,4,3,0,0
2026-05-16 00:00:00+00:00,0,0,0,0
